159
0 1 2 3 4 5 6 7 
0 3 2 1 8 11 10 9 
3 7 6 2 13 15 14 12 
11 3 2 10 17 13 12 16 
0 4 7 3 18 20 21 19 
8 0 3 11 22 18 19 23 
19 21 7 3 24 25 15 13 
23 19 3 11 26 24 13 17 
21 7 15 25 27 28 29 30 
24 25 15 13 32 34 33 31 
13 15 14 12 31 33 36 35 
25 15 33 34 30 29 37 38 
21 27 30 25 39 41 42 40 
19 21 25 24 43 39 40 44 
12 14 6 2 46 48 47 45 
16 12 2 10 50 46 45 49 
7 6 14 15 28 51 52 29 
17 13 12 16 54 31 35 53 
20 4 7 21 55 56 28 27 
18 20 21 19 57 58 39 43 
40 42 30 25 59 60 38 34 
45 47 6 2 61 62 5 1 
49 45 2 10 63 61 1 9 
12 14 48 46 35 36 65 64 
16 12 46 50 53 35 64 66 
1 5 4 0 68 70 69 67 
9 1 0 8 72 68 67 71 
4 5 6 7 56 73 51 28 
8 11 10 9 74 77 76 75 
77 11 10 76 79 17 16 78 
15 14 36 33 29 52 80 37 
67 69 4 0 81 82 20 18 
71 67 0 8 83 81 18 22 
74 8 11 77 84 22 23 85 
27 28 29 30 86 87 88 89 
85 23 11 77 90 26 17 79 
30 29 37 38 89 88 91 92 
26 24 13 17 93 32 31 54 
58 20 21 39 94 55 27 41 
22 18 19 23 95 57 43 96 
41 27 30 42 97 86 89 98 
96 43 19 23 99 44 24 26 
42 30 38 60 98 89 92 100 
44 40 25 24 101 59 34 32 
39 41 42 40 103 105 104 102 
43 39 40 44 107 103 102 106 
6 47 48 14 51 108 109 52 
78 16 10 76 111 50 49 110 
28 51 52 29 87 112 113 88 
79 17 16 78 115 54 53 114 
82 69 4 20 116 117 56 55 
55 56 28 27 118 119 87 86 
81 82 20 18 120 121 58 57 
40 42 60 59 102 104 123 122 
57 58 39 43 124 125 103 107 
45 47 62 61 127 129 128 126 
49 45 61 63 131 127 126 130 
45 47 129 127 46 48 133 132 
49 45 127 131 50 46 132 134 
61 62 5 1 135 136 70 68 
63 61 1 9 137 135 68 72 
5 62 47 6 73 138 108 51 
110 49 10 76 139 63 9 75 
14 48 65 36 52 109 140 80 
78 16 50 111 114 53 66 141 
69 70 5 4 117 142 73 56 
75 9 8 74 144 72 71 143 
56 73 51 28 119 145 112 87 
29 52 80 37 88 113 146 91 
143 71 8 74 147 83 22 84 
86 87 88 89 148 149 150 151 
89 88 91 92 151 150 152 153 
90 26 17 79 154 93 54 115 
121 82 20 58 155 116 55 94 
83 81 18 22 156 120 57 95 
94 55 27 41 157 118 86 97 
84 22 23 85 158 95 96 159 
97 86 89 98 160 148 151 161 
159 96 23 85 162 99 26 90 
98 89 92 100 161 151 153 163 
99 44 24 26 164 101 32 93 
42 60 123 104 98 100 165 166 
44 40 59 101 106 102 122 167 
41 42 104 105 97 98 166 168 
96 43 44 99 170 107 106 169 
58 39 103 125 94 41 105 171 
95 57 43 96 172 124 107 170 
67 69 82 81 174 176 175 173 
103 105 104 102 178 180 179 177 
111 50 49 110 182 134 131 181 
51 108 109 52 112 183 184 113 
87 112 113 88 149 185 186 150 
175 176 69 82 187 188 117 116 
116 117 56 55 189 190 119 118 
118 119 87 86 191 192 149 148 
173 175 82 81 193 194 121 120 
102 104 123 122 177 179 196 195 
107 103 102 106 198 178 177 197 
120 121 58 57 199 200 125 124 
62 128 129 47 138 201 202 108 
181 131 49 110 203 130 63 139 
47 129 133 48 108 202 204 109 
50 46 132 134 66 64 206 205 
111 50 134 182 141 66 205 207 
70 136 62 5 142 208 138 73 
139 63 9 75 209 137 72 144 
73 138 108 51 145 210 183 112 
52 109 140 80 113 184 211 146 
70 142 117 69 212 213 188 176 
68 70 69 67 214 212 176 174 
117 142 73 56 190 215 145 119 
119 145 112 87 192 216 185 149 
88 113 146 91 150 186 217 152 
71 67 81 83 219 174 173 218 
148 149 150 151 220 221 222 223 
151 150 152 153 223 222 224 225 
194 175 82 121 226 187 116 155 
218 173 81 83 227 193 120 156 
155 116 55 94 228 189 118 157 
147 83 22 84 229 156 95 158 
157 118 86 97 230 191 148 160 
160 148 151 161 231 220 223 232 
161 151 153 163 232 223 225 233 
162 99 26 90 234 164 93 154 
98 100 165 166 161 163 235 236 
99 44 101 164 169 106 167 237 
104 123 196 179 166 165 238 239 
106 102 122 167 197 177 195 240 
97 98 166 168 160 161 236 241 
105 104 179 180 168 166 239 242 
94 41 105 171 157 97 168 243 
125 171 105 103 244 245 180 178 
124 125 103 107 246 244 178 198 
121 58 125 200 155 94 171 247 
156 120 57 95 248 199 124 172 
182 134 131 181 250 252 251 249 
177 179 196 195 254 256 255 253 
249 251 131 181 257 258 130 203 
131 251 252 134 127 259 260 132 
182 134 252 250 207 205 262 261 
203 130 63 139 263 264 137 209 
108 202 204 109 183 265 266 184 
48 109 204 133 65 140 268 267 
112 183 184 113 185 269 270 186 
149 185 186 150 221 271 272 222 
174 176 175 173 274 276 275 273 
273 275 175 173 277 278 194 193 
162 99 164 234 280 169 237 279 
169 106 167 237 282 197 240 281 
197 177 195 240 284 254 253 283 
178 180 179 177 285 286 256 254 
158 95 96 159 288 172 170 287 
172 124 107 170 290 246 198 289 
199 200 125 124 291 292 244 246 
193 194 121 120 293 294 200 199 
250 252 251 249 296 298 297 295 
133 204 202 129 300 302 301 299 
209 137 72 144 304 306 305 303 
246 244 178 198 308 211 285 307 
