36
0 1 2 3 4 5 6 7 
4 0 1 5 8 9 10 11 
3 0 4 7 13 9 8 12 
3 2 1 0 15 17 16 14 
10 9 0 1 18 19 14 16 
0 9 13 3 14 19 20 15 
10 1 5 11 22 2 6 21 
10 1 2 22 18 16 17 23 
21 11 10 22 25 8 9 24 
18 10 9 19 23 22 24 26 
2 3 7 6 28 13 12 27 
17 15 3 2 29 20 13 28 
12 13 9 8 27 28 24 25 
29 20 13 28 26 19 9 24 
26 24 28 29 30 25 27 31 
24 22 21 25 26 23 32 30 
22 2 6 21 23 17 33 32 
29 28 2 17 31 27 6 33 
33 6 21 32 35 5 11 34 
8 25 21 11 36 30 32 34 
11 8 36 34 5 4 37 35 
4 5 6 7 37 35 33 38 
4 8 36 37 7 12 39 38 
25 27 31 30 8 12 39 36 
33 31 27 6 38 39 12 7 
18 23 26 19 40 32 30 41 
40 18 23 32 42 16 17 33 
19 14 16 18 41 43 42 40 
14 15 17 16 43 44 33 42 
41 30 26 19 45 31 29 20 
45 31 29 20 44 33 17 15 
41 19 14 43 45 20 15 44 
39 31 30 36 46 45 41 47 
40 32 30 41 48 34 36 47 
38 33 31 39 49 44 45 46 
33 32 40 42 35 34 48 50 
